date,gname,longitude,latitude,value,attype
2017-01-15,Al-Shabaab,45.326115,2.059819,1.0,Armed Assault
2017-01-15,Al-Shabaab,44.529976,1.789637,0.0,Armed Assault
2017-01-15,Islamic State of Iraq and the Levant (ISIL),44.522125,33.848618,10.0,Bombing/Explosion
2017-01-15,Islamic State of Iraq and the Levant (ISIL),45.283333,34.166667,0.0,Bombing/Explosion
2017-01-15,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,1.0,Bombing/Explosion
2017-01-14,Houthi extremists (Ansar Allah),44.720597,17.453164,1.0,Armed Assault
2017-01-15,Islamic State of Iraq and the Levant (ISIL),37.627221999999996,36.445278,13.0,Bombing/Explosion
2017-01-16,Boko Haram,13.141459,11.840929,2.0,Bombing/Explosion
2017-01-16,Boko Haram,13.141459,11.840929,2.0,Bombing/Explosion
2017-01-16,Al-Shabaab,45.118061,2.14383,1.0,Unknown
2017-01-16,Taliban,65.375885,36.066322,1.0,Armed Assault
2017-01-16,Taliban,65.42349,36.122909,1.0,Armed Assault
2017-01-16,Taliban,65.42349,36.122909,1.0,Armed Assault
2017-01-16,Taliban,68.710327,35.947552,1.0,Assassination
2017-01-14,New People's Army (NPA),124.566667,8.316667,0.0,Unknown
2017-01-16,Kurdistan Workers' Party (PKK),40.184376,37.922218,5.0,Bombing/Explosion
2017-01-16,Sinai Province of the Islamic State,30.705307,25.950713,10.0,Armed Assault
2017-01-16,New People's Army (NPA),125.41013000000001,7.300206,1.0,Unknown
2017-01-16,Khorasan Chapter of the Islamic State,66.994354,30.200819,1.0,Armed Assault
2017-01-16,Khorasan Chapter of the Islamic State,66.994354,30.200819,1.0,Armed Assault
2017-01-16,Al-Shabaab,49.251518,11.264581,23.0,Armed Assault
2017-01-16,Kurdistan Workers' Party (PKK),42.455756,37.527589,0.0,Bombing/Explosion
2017-01-17,Al-Shabaab,45.5008,2.78,0.0,Bombing/Explosion
2017-01-17,Khorasan Chapter of the Islamic State,70.463646,34.115677000000005,6.0,Armed Assault
2017-01-17,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-17,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-17,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-17,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-17,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-17,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-17,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0,Hostage Taking (Kidnapping)
2017-01-17,Islamic State of Iraq and the Levant (ISIL),42.800674,36.433239,0,Hostage Taking (Kidnapping)
2017-01-17,Maoists,81.38255799999999,18.761626,1.0,Assassination
2017-01-17,Maoists,87.694722,24.428889,0.0,Bombing/Explosion
2017-01-17,Maoists,84.5,23.75,0.0,Facility/Infrastructure Attack
2017-01-17,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,7.0,Bombing/Explosion
