origin,destination,origin_country,destination_country,count
KPAE,KPWT,US,US,7
KFDK,3VA7,US,US,7
KTEB,KROA,US,US,7
KCLT,OI11,US,US,7
KAUS,XS39,US,US,7
KMIA,KGSP,US,US,7
VA52,06VA,US,US,7
YKII,YMMB,AU,AU,7
KLOU,4KY8,US,US,7
7WA7,KBFI,US,US,7
KIWS,K3R9,US,US,7
KLGB,KGCN,US,US,7
CA66,KOAK,US,US,7
KAUS,XS89,US,US,7
3NK5,KPIE,US,US,7
KPHL,KVNY,US,US,7
KPIE,FA40,US,US,7
34WI,KMSN,US,US,7
KCHN,67FL,US,US,7
11TX,KADS,US,US,7
KOSU,KVTA,US,US,7
KFTG,KDCA,US,US,7
KDTS,KOPF,US,US,7
KIWS,KSAT,US,US,7
KRDU,KCUB,US,US,7
SDET,SBMT,BR,BR,7
KFTG,KCVG,US,US,7
KLGB,KAPA,US,US,7
KRFD,44MI,US,US,7
KRFD,4IL3,US,US,7
3NJ9,KN14,US,US,7
KPHL,KTNU,US,US,7
LFPG,LFFW,FR,FR,7
KADS,45TX,US,US,7
LFST,LFPB,FR,FR,7
KVCB,KRHV,US,US,7
KSWF,KBFI,US,US,7
KMHR,4IL3,US,US,7
KIWS,KDAL,US,US,7
KMHR,25CL,US,US,7
TE71,KIWS,US,US,7
KIWS,KCLL,US,US,7
KLGA,KISP,US,US,7
KDTO,KRBD,US,US,7
KRDU,KTYS,US,US,7
KPHL,KMMU,US,US,7
KFTW,2TA9,US,US,7
KFTW,3TX6,US,US,7
OH99,KOSU,US,US,7
5MI4,KGRR,US,US,7
3NC5,KBNA,US,US,7
KMIA,71KY,US,US,7
YHML,YMMB,AU,AU,7
KSNS,3CA9,US,US,7
7TS2,KHYI,US,US,7
KA39,KSDL,US,US,7
KADS,KJXI,US,US,7
KSTP,KTEB,US,US,7
KSTP,MY66,US,US,7
KTEB,KOWD,US,US,7
KMIA,AL17,US,US,7
KLQK,SC32,US,US,7
KOXC,KTEB,US,US,7
KFTG,KTYS,US,US,7
KLGA,KTTN,US,US,7
KOXR,KBUR,US,US,7
KJFK,49OH,US,US,7
LFBO,LFBF,FR,FR,7
KDEN,KUZA,US,US,7
KBWI,PS52,US,US,7
KPHL,KNRQ,US,US,7
KPIE,KECP,US,US,7
KPHL,KOAJ,US,US,7
CA84,0CA6,US,US,7
WSSL,WSSS,SG,SG,7
CA76,KSEE,US,US,7
KRDU,KRWI,US,US,7
KMHT,KSDF,US,US,7
KOXR,KNUC,US,US,7
KPHL,KONZ,US,US,7
KATW,CO12,US,US,7
KCDW,NY09,US,US,7
KSNS,KSJC,US,US,7
KFTW,24TX,US,US,7
16XS,KADS,US,US,7
KGRB,WN11,US,US,7
KBWI,WV61,US,US,7
YJCW,YMUR,AU,AU,7
KTEB,KMJX,US,US,7
LFBO,LFRI,FR,FR,7
KREI,KMYF,US,US,7
KRDU,KIGX,US,US,7
KLGA,VA27,US,US,7
KSTP,KIAD,US,US,7
KSNA,TS53,US,US,7
KPHL,KMHR,US,US,7
KSNA,KWHP,US,US,7
KJFK,KLUK,US,US,7
KOWD,KMMU,US,US,7
KLGA,VT26,US,US,7
YHEC,YCDR,AU,AU,7
KMHR,KLHM,US,US,7
KOWD,KHYA,US,US,7
20ID,KBOI,US,US,7
K0R1,KNSE,US,US,7
LFPG,LFPB,FR,FR,7
22CO,KBOS,US,US,7
SC08,KLAX,US,US,7
KDEN,KTZT,US,US,7
KPIE,KATW,US,US,7
20II,KATL,US,US,7
KPIE,KBKV,US,US,7
KDTO,KSWI,US,US,7
KLGA,KUMP,US,US,7
EHBK,EHEH,NL,NL,7
87TE,KSGR,US,US,7
LZIB,LZKZ,SK,SK,7
KTEB,KLNK,US,US,7
KDCA,95FD,US,US,7
KRDU,NC66,US,US,7
KLUD,KAFW,US,US,7
KAVP,KPHL,US,US,7
KJFK,1MA5,US,US,7
KJFK,17FA,US,US,7
EHBK,EHAM,NL,NL,7
KPAE,76WA,US,US,7
6NA2,KMSP,US,US,7
KFTW,58TX,US,US,7
YHEC,YRED,AU,AU,7
KSPB,KVUO,US,US,7
YBNS,YWSL,AU,AU,7
KLGB,KHWD,US,US,7
KMIV,KTTN,US,US,7
KUES,KRYV,US,US,7
KORE,KBED,US,US,7
KCGS,KDCA,US,US,7
KDFW,35MN,US,US,7
0CO1,KLMO,US,US,7
YARM,YSBK,AU,AU,7
KORF,KDFW,US,US,7
KORF,KDTW,US,US,7
KCMA,KMRY,US,US,7
KLNS,KCDW,US,US,7
KFAT,KNUQ,US,US,7
KTEX,KLAS,US,US,7
EGVN,LCRA,GB,GB,7
KDAL,TX61,US,US,7
KDFW,24TX,US,US,7
YLVB,YMMB,AU,AU,7
KSNA,K36U,US,US,7
KCGS,KADW,US,US,7
KMJX,K47N,US,US,7
KFYV,KXNA,US,US,7
KORD,WI29,US,US,7
KMJX,0NJ6,US,US,7
KAFW,KDTO,US,US,7
KATL,KTIK,US,US,7
KISM,FD83,US,US,7
KLMO,KBDU,US,US,7
KFXE,KLZU,US,US,7
KPHX,48AZ,US,US,7
KBFI,WA42,US,US,7
KSUS,7IS9,US,US,7
KISM,KFTG,US,US,7
KTEB,TX05,US,US,7
KLNS,KMTN,US,US,7
KCMA,KF70,US,US,7
KGRR,KFLL,US,US,7
SBSP,SIFQ,BR,BR,7
63CN,KLVK,US,US,7
KSNA,KDTW,US,US,7
9XS0,TS53,US,US,7
KBWI,KFWQ,US,US,7
KLNS,KLOM,US,US,7
YATN,YBCS,AU,AU,7
KAFW,KDAL,US,US,7
KTEX,KDAL,US,US,7
KFRG,KPNE,US,US,7
KROC,25NK,US,US,7
KDEN,XS39,US,US,7
KCFJ,KLAF,US,US,7
SSJC,SBST,BR,BR,7
KMIC,MN87,US,US,7
KBWI,KFTY,US,US,7
VA04,KROA,US,US,7
KGRR,KHPN,US,US,7
KBWI,FD92,US,US,7
64CL,KCMA,US,US,7
KTYS,AL16,US,US,7
24OH,KPHL,US,US,7
LSZR,LSGG,CH,CH,7
KLNK,NE40,US,US,7
KFXE,KX49,US,US,7
KIND,KSDF,US,US,7
KATL,KFTY,US,US,7
KBWI,KAKH,US,US,7
KADS,KGKY,US,US,7
7TA0,89TA,US,US,7
KTHV,KFDK,US,US,7
KSNA,8CA5,US,US,7
KFXE,KXFL,US,US,7
K19N,KPHL,US,US,7
KDFW,1TX9,US,US,7
XS89,KLAX,US,US,7
KGRR,KPGD,US,US,7
KAWO,KBLI,US,US,7
KIND,KPDK,US,US,7
KFRG,KBLM,US,US,7
KDTW,PN18,US,US,7
KAFW,KJFK,US,US,7
KFRG,KBWI,US,US,7
KORD,KWBW,US,US,7
17TX,KFTW,US,US,7
KCGF,KHPN,US,US,7
KPHX,KCBF,US,US,7
KCGF,KOSU,US,US,7
CD14,KMCI,US,US,7
KORD,MU27,US,US,7
CZBB,CYPK,CA,CA,7
CZBB,CYXX,CA,CA,7
KLNK,KFET,US,US,7
KSUS,KOJC,US,US,7
XS86,KSAT,US,US,7
KDFW,05AR,US,US,7
EGKB,EGSS,GB,GB,7
KPHX,KMCO,US,US,7
EGWU,EGLF,GB,GB,7
KINJ,KGKY,US,US,7
KSUS,KFAM,US,US,7
KPHX,CL36,US,US,7
6PA6,KPHL,US,US,7
KFCM,KBJC,US,US,7
KMJX,KVAY,US,US,7
KPHX,CA22,US,US,7
KADS,KABQ,US,US,7
KORD,PN18,US,US,7
EDLN,EDDK,DE,DE,7
KORD,NH76,US,US,7
88PA,KJFK,US,US,7
