date,weapon laws,warrants,non-criminal,personal crimes,other,property crimes,financial ,statutory crimes,secondary codes,suspicious occ,trespass,runaway,family offenses,suicide,liquor laws
2016-09-29,4,10,55,40,47,159,5,20,3,19,2,0,0,0,0
2016-09-30,6,15,46,63,56,209,13,11,7,22,5,0,0,0,0
2016-10-01,3,11,60,60,62,197,7,24,6,26,7,0,0,0,0
2016-10-02,6,10,53,40,48,168,6,10,3,16,5,0,0,0,0
2016-10-03,7,16,41,49,60,196,6,17,7,17,6,0,0,0,1
2016-10-04,6,16,66,34,69,185,9,17,8,21,3,0,0,1,1
2016-10-05,3,8,60,57,41,188,10,9,4,9,7,0,0,0,0
2016-10-06,7,8,43,44,56,191,11,22,6,14,6,0,0,0,1
2016-10-07,13,18,59,62,56,199,9,28,4,19,7,2,0,0,0
2016-10-08,8,24,70,68,62,216,12,33,6,21,10,1,0,0,1
2016-10-09,6,18,55,62,49,173,9,26,7,14,9,0,0,1,0
2016-10-10,6,30,39,47,87,172,7,38,10,19,4,0,0,0,0
2016-10-11,1,15,53,50,56,166,6,16,10,17,8,0,1,0,3
2016-10-12,9,25,46,50,68,173,10,27,6,24,6,4,0,0,0
2016-10-13,8,27,53,50,54,178,5,60,7,12,5,1,0,0,1
2016-10-14,3,11,49,48,51,215,9,21,8,12,6,1,0,0,0
2016-10-15,0,16,58,57,28,196,6,29,5,22,4,1,0,1,0
2016-10-16,7,17,39,50,50,187,5,23,3,16,8,0,0,0,0
2016-10-17,15,15,35,55,54,201,12,11,8,13,5,0,0,0,0
2016-10-18,6,19,47,28,56,171,8,32,5,21,8,0,0,0,0
2016-10-19,7,15,42,43,65,179,17,21,10,17,7,0,0,0,0
2016-10-20,5,20,44,58,45,177,12,24,10,24,3,0,0,0,0
2016-10-21,3,12,41,39,49,218,5,19,6,20,3,0,1,0,0
2016-10-22,5,12,50,53,47,207,6,10,6,14,3,1,1,0,0
2016-10-23,6,9,40,48,47,191,4,10,3,11,2,0,0,0,0
2016-10-24,2,13,38,41,62,216,10,17,4,13,1,0,0,0,0
2016-10-25,5,19,39,56,56,189,12,20,5,18,8,2,0,0,0
