id,date,longitude,latitude,magnitude,mag_key,value
243,2016,13.067,42.956,7.0,7,1.0
244,2016,13.11,42.84,7.0,7,22.0
245,2016,-96.805,35.988,6.0,6,0
246,2016,173.054,-42.737,8.0,8,2.0
247,2016,141.387,37.393,7.0,7,15.0
248,2016,-88.835,11.96,5.0,5,0
249,2016,73.978,39.273,7.0,7,1.0
250,2016,86.532,27.802,4.0,4,2.0
251,2016,-83.807,9.949,6.0,6,0
252,2016,-70.93,-15.44,6.0,6,18.0
253,2016,96.168,5.283,8.0,8,961.0
254,2016,86.345,43.823,3.0,3,1.0
255,2016,161.327,-10.681,8.0,8,1.0
256,2016,161.132,-10.749,7.0,7,0
257,2016,153.522,-4.505,7.0,7,0
258,2016,-79.84,0.93,6.0,6,50.0
259,2016,-74.391,-43.517,7.0,7,0
260,2017,176.052,-19.373,6.0,6,0
261,2017,155.172,-6.246,9.0,9,3.0
262,2017,125.452,9.907,8.0,8,210.0
263,2017,99.841,25.938,2.0,2,1.0
264,2017,-72.062,-33.038,9.0,9,0
265,2017,125.066,5.504,9.0,9,5.0
266,2017,120.431,-1.292,7.0,7,25.0
267,2017,-92.009,14.909,8.0,8,35.0
268,2017,-90.972,13.717,6.0,6,4.0
269,2017,124.629,11.127,9.0,9,452.0
270,2017,168.857,54.443,8.0,8,0
271,2017,27.414,36.929,7.0,7,502.0
272,2017,103.855,33.193,5.0,5,550.0
273,2017,-94.103,14.761,9.0,9,349.0
274,2017,-98.68,18.339,9.0,9,6369.0
275,2017,169.149,-21.697,3.0,3,0
276,2017,127.752,-3.745,5.0,5,1.0
277,2017,168.859,-21.648,3.0,3,0
278,2017,45.959,34.911,8.0,8,13530.0
279,2017,-84.487,9.515,8.0,8,2.0
280,2017,129.27,36.074,8.0,8,90.0
281,2017,94.984,29.833,9.0,9,2.0
282,2017,168.673,-21.638,5.0,5,0
283,2017,168.598,-21.503,4.0,4,0
284,2017,168.672,-21.325,4.0,4,0
285,2017,108.058,29.349,4.0,4,8.0
286,2018,-74.744,-15.776,6.0,6,141.0
287,2018,142.768,-6.068,8.0,8,445.0
288,2018,109.65,-7.21,2.0,2,24.0
289,2018,119.84,-0.178,8.0,8,15019.0
290,2018,114.453,-7.456,5.0,5,40.0
291,2019,128.216,-3.65,7.0,7,3.0
292,2019,125.005,6.712,7.0,7,222.0
293,2019,124.912,7.625,6.0,6,16.0
294,2020,-66.813,17.916,8.0,8,4.0
295,2020,106.676,-6.808,8.0,8,4.0
296,2020,-112.078,40.751,6.0,6,0
297,2020,15.966,45.897,8.0,8,28.0
298,2020,157.693,48.986,6.0,6,0
299,2020,25.712,34.205,7.0,7,0
